year,classification,female,male,non-binary
1994,Multiple,2.0,3.0,0.0
1994,Painting,5.0,20.0,0.0
1994,Photograph,20.0,69.0,0.0
1994,Print,15.0,51.0,0.0
1994,Sculpture,3.0,17.0,0.0
1994,Video,4.0,14.0,0.0
1995,All,48.0,169.0,0.0
1995,Architecture,0.0,3.0,0.0
1995,Design,5.0,32.0,0.0
1995,Drawing,6.0,15.0,0.0
1995,Illustrated Book,2.0,17.0,0.0
1995,Installation,0.0,2.0,0.0
1995,Multiple,3.0,3.0,0.0
1995,Painting,1.0,11.0,0.0
1995,Photograph,13.0,24.0,0.0
1995,Print,16.0,51.0,0.0
1995,Sculpture,2.0,8.0,0.0
1995,Video,0.0,3.0,0.0
1996,All,50.0,206.0,0.0
1996,Architecture,1.0,20.0,0.0
1996,Design,4.0,21.0,0.0
1996,Drawing,9.0,29.0,0.0
1996,Illustrated Book,6.0,13.0,0.0
1996,Installation,0.0,5.0,0.0
1996,Painting,2.0,20.0,0.0
1996,Photograph,7.0,37.0,0.0
1996,Print,18.0,44.0,0.0
1996,Sculpture,3.0,17.0,0.0
1997,All,64.0,241.0,0.0
1997,Architecture,0.0,12.0,0.0
1997,Design,3.0,25.0,0.0
1997,Drawing,6.0,20.0,0.0
1997,Illustrated Book,4.0,35.0,0.0
1997,Installation,0.0,3.0,0.0
1997,Multiple,4.0,6.0,0.0
1997,Painting,5.0,14.0,0.0
1997,Photograph,19.0,48.0,0.0
1997,Print,17.0,66.0,0.0
1997,Sculpture,4.0,9.0,0.0
1997,Video,2.0,3.0,0.0
1998,All,82.0,283.0,0.0
1998,Architecture,0.0,3.0,0.0
1998,Design,1.0,43.0,0.0
1998,Drawing,5.0,25.0,0.0
1998,Film,0.0,1.0,0.0
1998,Illustrated Book,5.0,10.0,0.0
1998,Installation,1.0,3.0,0.0
1998,Media,0.0,1.0,0.0
1998,Multiple,11.0,23.0,0.0
1998,Painting,1.0,19.0,0.0
1998,Photograph,13.0,45.0,0.0
1998,Print,37.0,87.0,0.0
1998,Sculpture,1.0,15.0,0.0
1998,Video,7.0,8.0,0.0
1999,All,63.0,230.0,0.0
1999,Architecture,0.0,5.0,0.0
1999,Design,1.0,49.0,0.0
1999,Drawing,12.0,38.0,0.0
1999,Film,0.0,1.0,0.0
1999,Illustrated Book,5.0,11.0,0.0
1999,Multiple,5.0,6.0,0.0
1999,Painting,0.0,18.0,0.0
1999,Photograph,6.0,31.0,0.0
1999,Print,21.0,50.0,0.0
1999,Sculpture,2.0,10.0,0.0
1999,Video,11.0,11.0,0.0
2000,All,56.0,229.0,1.0
2000,Architecture,1.0,25.0,0.0
2000,Design,6.0,95.0,0.0
2000,Drawing,8.0,25.0,0.0
2000,Illustrated Book,0.0,7.0,0.0
2000,Installation,2.0,1.0,0.0
2000,Multiple,2.0,9.0,0.0
2000,Painting,1.0,6.0,0.0
2000,Photograph,6.0,14.0,0.0
2000,Print,18.0,25.0,0.0
2000,Sculpture,0.0,7.0,0.0
2000,Video,12.0,15.0,1.0
2001,All,130.0,626.0,0.0
2001,Architecture,0.0,8.0,0.0
2001,Design,7.0,75.0,0.0
2001,Drawing,20.0,68.0,0.0
2001,Graphic Design,0.0,1.0,0.0
2001,Illustrated Book,30.0,170.0,0.0
2001,Installation,2.0,2.0,0.0
2001,Multiple,2.0,16.0,0.0
2001,Painting,2.0,6.0,0.0
2001,Periodical,1.0,7.0,0.0
2001,Photograph,34.0,202.0,0.0
2001,Print,27.0,59.0,0.0
2001,Sculpture,2.0,10.0,0.0
2001,Video,3.0,2.0,0.0
2002,All,51.0,144.0,0.0
2002,Architecture,0.0,3.0,0.0
2002,Design,0.0,16.0,0.0
2002,Drawing,8.0,33.0,0.0
2002,Film,0.0,1.0,0.0
2002,Illustrated Book,9.0,11.0,0.0
2002,Installation,1.0,1.0,0.0
2002,Multiple,0.0,3.0,0.0
2002,Painting,6.0,16.0,0.0
2002,Photograph,8.0,22.0,0.0
2002,Print,16.0,31.0,0.0
2002,Sculpture,1.0,6.0,0.0
2002,Video,2.0,1.0,0.0
2003,All,43.0,127.0,0.0
2003,Architecture,0.0,11.0,0.0
2003,Design,1.0,12.0,0.0
2003,Drawing,11.0,25.0,0.0
2003,Illustrated Book,1.0,7.0,0.0
2003,Installation,2.0,0.0,0.0
2003,Multiple,0.0,8.0,0.0
